road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Upper Thames Street,primary,32,1.9,32,0.84,0.38,1.0,0.22,0.0,0.38,0.0,41.3,High,medium
Osnaburgh Terrace,primary,3,1.3,32,1.0,1.0,1.0,0.33,0.0,0.33,0.0,41.3,High,medium
New North Road,primary,46,2.1,32,0.2,0.85,1.0,0.17,0.0,0.2,0.0,41.3,High,medium
St John's Wood Road,trunk,24,2.2,32,0.38,0.0,0.42,0.21,0.0,0.25,0.0,41.3,High,medium
Tooley Street,primary,50,1.8,33,0.22,0.94,1.0,0.06,0.0,0.3,0.02,41.2,High,low
Sussex Gardens,primary,59,2.1,32,0.31,0.36,1.0,0.14,0.0,0.24,0.0,41.1,High,medium
Achilles Way,trunk,2,1.5,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,High,high
Belgrave Road,primary,5,2.0,32,0.2,0.4,1.0,0.4,0.0,0.2,0.0,41.0,High,medium
Marshalsea Road,primary,9,2.1,32,0.44,0.22,1.0,0.44,0.0,0.22,0.0,41.0,High,medium
Strand,primary,34,2.1,32,0.74,0.94,0.65,0.26,0.0,0.06,0.0,40.8,High,medium
Kentish Town Road,primary,37,1.8,32,0.62,0.89,1.0,0.16,0.0,0.78,0.0,40.8,High,medium
Hobart Place,primary,4,2.8,32,0.75,0.0,1.0,0.25,0.0,0.0,0.0,40.8,High,high
St Martin's Place,primary,6,2.0,32,0.67,0.67,1.0,0.17,0.0,0.33,0.0,40.8,High,medium
Harrow Road,primary,29,2.1,32,0.9,0.76,1.0,0.1,0.0,0.45,0.0,40.7,High,medium
King William Street,primary,29,2.0,32,0.93,1.0,1.0,0.31,0.0,0.31,0.0,40.5,High,medium
St. Pancras Way,primary,64,1.9,32,1.0,0.22,1.0,0.09,0.0,0.75,0.0,40.3,High,medium
Charing Cross Road,primary,24,1.8,32,0.17,0.92,1.0,0.12,0.0,0.25,0.0,40.2,High,medium
Wigmore Street,primary,6,2.2,32,0.0,0.0,1.0,0.83,0.0,0.17,0.0,40.2,High,medium
Crowndale Road,secondary,34,2.1,32,0.47,1.0,1.0,0.12,0.0,0.29,0.0,40.1,High,medium
Prince Albert Road,primary,33,2.0,32,0.21,0.45,0.94,0.15,0.0,0.21,0.0,40.1,High,medium
Northumberland Avenue,primary,17,1.9,32,0.71,0.35,1.0,0.24,0.0,0.82,0.0,40.1,High,medium
Artillery Row,secondary,1,2.0,32,0.0,1.0,1.0,1.0,0.0,1.0,0.0,40.0,High,medium
Earnshaw Street,primary,2,1.5,32,1.0,0.5,1.0,0.0,0.0,0.5,0.0,40.0,High,medium
Conduit Street,secondary,4,2.0,32,0.0,1.0,1.0,1.0,0.0,0.25,0.0,40.0,High,medium
Sydney Place,secondary,1,2.0,32,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,High,high
Sydney Street,secondary,4,2.0,32,0.0,1.0,1.0,1.0,0.0,1.0,0.0,40.0,High,medium
Chenies Street,primary,7,2.0,32,1.0,0.0,1.0,0.29,0.0,1.0,0.0,39.9,High,medium
Great Portland Street,secondary,27,2.1,32,0.7,0.63,1.0,0.56,0.0,0.26,0.0,39.5,High,medium
Wilton Road,primary,11,1.7,35,0.82,1.0,1.0,0.36,0.0,0.82,0.18,39.5,High,low
Parliament Street,primary,13,1.7,32,1.0,1.0,0.0,0.38,0.0,0.0,0.0,39.5,High,high
Pall Mall East,primary,4,2.0,32,1.0,0.0,0.75,0.5,0.0,0.0,0.0,39.2,High,high
Humphrey Street,secondary,6,2.5,32,0.83,0.5,1.0,0.5,0.0,0.0,0.0,39.2,High,high
Pancras Road,primary,52,2.0,32,0.4,0.75,1.0,0.1,0.0,0.37,0.0,39.2,High,medium
Marsham Street,secondary,8,2.0,32,0.12,1.0,1.0,0.62,0.0,0.38,0.0,39.1,High,medium
Portland Place,primary,39,1.4,32,1.0,0.44,1.0,0.31,0.0,0.05,0.0,39.0,High,medium
Garden Row,primary,1,2.0,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,39.0,High,medium
Mortimer Street,primary,6,2.0,32,0.0,0.0,1.0,0.67,0.0,0.0,0.0,39.0,High,high
Piccadilly Underpass,primary,2,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,High,high
Abbey Street,secondary,9,2.2,32,0.0,1.0,1.0,0.33,0.0,0.11,0.0,38.9,High,medium
Great Smith Street,secondary,5,2.0,32,0.0,1.0,1.0,0.6,0.0,1.0,0.0,38.8,High,medium
Bayham Street,primary,12,1.9,32,1.0,1.0,1.0,0.0,0.0,0.5,0.0,38.8,High,medium
Blackfriars Underpass,primary,9,2.1,32,0.33,0.0,1.0,0.22,0.0,0.0,0.0,38.8,High,high
Royal Hospital Road,secondary,13,2.0,32,0.54,0.92,1.0,0.38,0.0,0.85,0.0,38.8,High,medium
Southgate Road,secondary,12,2.0,32,0.0,1.0,1.0,0.58,0.0,0.0,0.0,38.8,High,high
Vernon Place,primary,3,1.7,32,1.0,1.0,0.0,0.67,0.0,0.0,0.0,38.7,High,high
Montague Street,primary,5,2.0,32,0.6,1.0,1.0,0.0,0.0,0.4,0.0,38.6,High,medium
Drummond Gate,primary,9,1.9,32,0.78,1.0,1.0,0.22,0.0,0.0,0.0,38.6,High,high
Westbourne Terrace,primary,23,2.1,32,0.48,0.0,1.0,0.09,0.0,0.83,0.0,38.6,High,medium
Park Crescent,primary,6,2.0,32,0.0,0.0,1.0,0.5,0.0,0.17,0.0,38.5,High,medium
Bermondsey Street,primary,22,1.6,38,0.86,0.0,1.0,0.23,0.0,0.5,0.0,38.5,High,medium
Horseferry Road,secondary,17,1.9,32,0.35,1.0,1.0,0.35,0.0,0.18,0.0,38.5,High,medium
St. James's Street,primary,13,1.7,32,0.77,0.0,1.0,0.38,0.0,0.23,0.0,38.5,High,medium
Ebury Bridge Road,secondary,8,2.0,32,0.25,1.0,1.0,0.25,0.0,0.5,0.0,38.2,High,medium
Gower Street,primary,45,1.9,32,0.09,0.22,1.0,0.11,0.0,0.13,0.0,38.1,High,medium
Abingdon Street,primary,3,2.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,Moderate,high
Cockspur Street,primary,11,2.2,32,0.55,0.91,0.09,0.36,0.0,0.09,0.0,38.0,Moderate,medium
Lombard Road,secondary,12,2.0,32,0.5,0.92,1.0,0.17,0.0,1.0,0.0,38.0,Moderate,medium
Old Palace Yard,primary,7,2.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,Moderate,high
Abbey Road,secondary,3,2.0,32,0.0,1.0,1.0,0.33,0.0,0.0,0.0,38.0,Moderate,high
Vestry Street,primary,7,1.7,32,0.86,0.71,1.0,0.0,0.0,0.86,0.0,37.9,Moderate,medium
Albert Bridge,primary,16,1.9,32,0.56,0.0,1.0,0.06,0.0,0.62,0.0,37.8,Moderate,medium
St. Margaret Street,primary,7,1.6,32,0.71,1.0,0.0,0.0,0.0,0.0,0.0,37.7,Moderate,high
Pall Mall,primary,18,1.7,32,0.89,0.11,0.39,0.67,0.0,0.44,0.0,37.3,Moderate,medium
Chiswell Street,secondary,10,2.0,32,0.0,1.0,1.0,0.1,0.0,0.0,0.0,37.3,Moderate,high
Greycoat Place,secondary,8,1.9,32,0.75,0.88,1.0,0.0,0.0,0.5,0.0,37.2,Moderate,medium
Finsbury Square,primary,15,2.1,32,0.73,0.73,1.0,0.27,0.0,0.6,0.0,37.1,Moderate,medium
Fitzjohn's Avenue,secondary,4,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,Moderate,high
Ferdinand Street,secondary,2,2.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,37.0,Moderate,medium
Albany Road,secondary,38,1.9,32,0.58,0.84,0.89,0.18,0.0,0.53,0.0,37.0,Moderate,medium
New Fetter Lane,primary,12,1.3,32,0.83,0.0,1.0,0.33,0.0,0.17,0.0,37.0,Moderate,medium
Curzon Gate,trunk_link,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,Moderate,high
Brook Gate,trunk_link,2,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,Moderate,high
Goodge Street,primary,7,1.7,32,0.57,0.0,1.0,0.0,0.0,0.29,0.0,37.0,Moderate,medium
Fish Street Hill,primary_link,3,1.0,32,0.33,1.0,1.0,0.67,0.0,1.0,0.0,37.0,Moderate,medium
Malden Road,secondary,4,1.8,32,0.0,1.0,1.0,0.25,0.0,0.25,0.0,36.8,Moderate,medium
Malden Crescent,secondary,4,1.8,32,0.0,1.0,1.0,0.25,0.0,0.5,0.0,36.8,Moderate,medium
Dunton Road,secondary,17,1.5,33,0.65,0.88,1.0,0.35,0.0,0.0,0.0,36.7,Moderate,high
Hawley Road,primary,8,1.8,32,0.88,0.75,1.0,0.12,0.0,1.0,0.0,36.6,Moderate,medium
Lisson Grove,secondary,20,2.1,32,0.0,0.75,0.95,0.2,0.0,0.0,0.0,36.5,Moderate,high
Islington High Street,trunk,7,1.9,32,0.71,0.57,1.0,0.57,0.0,0.29,0.0,36.4,Moderate,medium
Moorgate,tertiary,32,2.0,32,0.19,1.0,1.0,0.12,0.0,0.47,0.0,36.3,Moderate,medium
Coventry Street,primary,3,1.7,32,1.0,0.67,1.0,1.0,0.0,0.0,0.0,36.3,Moderate,high
Strand Underpass,primary,3,1.3,32,1.0,0.0,1.0,0.0,0.0,0.33,0.0,36.3,Moderate,medium
Fleet Street,primary,39,2.2,32,0.33,1.0,0.64,0.18,0.0,0.21,0.0,36.3,Moderate,medium
Long Lane,primary,23,1.9,32,0.35,0.61,1.0,0.17,0.0,0.3,0.0,36.2,Moderate,medium
Camberwell Green,residential,14,2.1,32,0.64,0.64,1.0,0.29,0.0,0.36,0.0,36.2,Moderate,medium
Cranbourn Street,secondary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,36.0,Moderate,medium
Vere Street,secondary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,36.0,Moderate,medium
College Crescent,secondary,14,1.9,32,0.86,0.79,1.0,0.29,0.0,0.14,0.0,35.6,Moderate,medium
Beech Street,secondary,20,1.1,32,0.85,1.0,1.0,0.05,0.0,0.0,0.0,35.5,Moderate,high
Shepherdess Walk,secondary,13,2.0,32,0.15,0.85,1.0,0.08,0.0,0.92,0.0,35.5,Moderate,medium
Craven Road,secondary,9,2.0,32,0.0,0.0,1.0,0.78,0.0,0.44,0.0,35.3,Moderate,medium
Buckingham Gate,secondary,7,2.3,32,0.0,0.0,1.0,0.43,0.0,0.0,0.0,35.1,Moderate,high
Southampton Way,secondary,20,1.9,32,0.1,0.75,1.0,0.0,0.0,0.6,0.0,35.1,Moderate,medium
Bulinga Street,secondary,5,1.0,32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,Moderate,high
Beauchamp Place,secondary,2,2.0,32,0.5,0.0,1.0,1.0,0.0,0.5,0.0,35.0,Moderate,medium
Victoria Embankment,primary,34,1.7,32,0.59,0.03,0.74,0.15,0.0,0.24,0.0,34.7,Moderate,medium
Puddle Dock,primary,21,1.8,32,1.0,0.0,1.0,0.24,0.0,0.38,0.0,34.6,Moderate,medium
Mildmay Park,tertiary,2,3.0,32,0.0,1.0,1.0,0.5,0.0,0.0,0.0,34.5,Moderate,high
Oakley Square,trunk,14,1.8,32,0.5,0.29,1.0,0.07,0.0,0.71,0.0,34.5,Moderate,medium
Avenue Road,secondary,17,2.3,32,0.47,0.18,1.0,0.35,0.0,0.0,0.0,34.5,Moderate,high
St. John Street,secondary,38,1.7,32,0.47,0.53,1.0,0.16,0.0,0.66,0.0,34.4,Moderate,medium
John Islip Street,secondary,8,1.9,32,0.0,0.88,1.0,0.25,0.0,0.12,0.0,34.4,Moderate,medium
Beaufort Street,tertiary,5,2.0,32,0.0,1.0,1.0,0.8,0.0,0.4,0.0,34.2,Moderate,medium
Hilgrove Road,secondary,7,1.9,32,0.71,0.43,1.0,0.14,0.0,0.43,0.0,34.1,Moderate,medium
Westbridge Road,secondary,8,1.9,32,0.0,0.88,1.0,0.12,0.0,1.0,0.0,34.0,Moderate,medium
Bunhill Row,secondary,9,2.0,32,1.0,0.0,1.0,0.33,0.0,0.89,0.0,34.0,Moderate,medium
Holywell Lane,tertiary,4,1.2,32,1.0,1.0,1.0,0.5,0.0,0.0,0.0,34.0,Moderate,high
St Martin's Lane,secondary,3,2.0,32,1.0,0.0,1.0,0.33,0.0,1.0,0.0,34.0,Moderate,medium
Bowyer Place,secondary,1,2.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.0,Moderate,medium
Craven Hill,secondary,1,2.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.0,Moderate,medium
Pont Street,secondary,7,2.3,32,0.0,0.0,1.0,0.57,0.0,0.0,0.0,33.9,Moderate,high
Houndsditch,primary,13,1.4,32,0.92,0.69,1.0,0.0,0.0,0.69,0.0,33.9,Moderate,medium
Great George Street,primary,11,1.8,32,0.64,0.36,0.82,0.45,0.0,0.09,0.0,33.8,Moderate,medium
Long Acre,secondary,4,2.0,32,1.0,0.0,1.0,0.25,0.0,1.0,0.0,33.8,Moderate,medium
Seymour Street,primary,9,2.0,32,0.0,0.0,1.0,0.44,0.0,0.33,0.0,33.7,Moderate,medium
Hatton Garden,secondary,4,2.0,32,0.5,0.0,1.0,0.5,0.0,1.0,0.0,33.5,Moderate,medium
Eagle Wharf Road,secondary,4,2.0,32,0.75,0.0,1.0,0.25,0.0,1.0,0.0,33.2,Moderate,medium
Stanhope Gardens,tertiary,2,2.0,40,0.0,1.0,1.0,1.0,0.0,0.5,0.0,33.0,Moderate,medium
Grenville Street,secondary,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,Moderate,high
Lever Street,secondary,13,2.0,32,0.38,0.0,1.0,0.38,0.0,0.92,0.0,32.9,Moderate,medium
Harper Road,secondary,5,2.0,32,0.0,0.0,1.0,0.6,0.0,0.4,0.0,32.8,Moderate,medium
Great Queen Street,secondary,5,2.0,32,0.0,0.0,1.0,0.6,0.0,0.2,0.0,32.8,Moderate,medium
Mandela Way,secondary,4,2.5,32,0.0,0.25,1.0,0.75,0.0,0.0,0.0,32.8,Moderate,high
Cheyne Walk,trunk,13,1.8,32,0.23,0.54,1.0,0.31,0.0,0.69,0.0,32.8,Moderate,medium
Bath Street,secondary,10,1.9,32,0.7,0.0,1.0,0.2,0.0,0.5,0.0,32.6,Moderate,medium
Percival Street,secondary,4,2.0,32,0.0,0.0,1.0,0.5,0.0,0.0,0.0,32.5,Moderate,high
Berkeley Street,tertiary,6,1.8,32,0.83,1.0,1.0,0.83,0.0,0.67,0.0,32.5,Moderate,medium
Duncannon Street,tertiary,2,2.0,32,1.0,1.0,1.0,0.5,0.0,0.0,0.0,32.5,Moderate,high
Montague Place,secondary,9,1.8,32,1.0,0.0,1.0,0.11,0.0,0.78,0.0,32.4,Moderate,medium
Guilford Street,secondary,11,2.0,32,0.36,0.0,1.0,0.18,0.0,0.45,0.0,32.3,Moderate,medium
Prince of Wales Drive,tertiary,32,1.9,35,0.75,0.56,1.0,0.16,0.0,0.66,0.0,32.3,Moderate,medium
Thayer Street,secondary,3,2.0,32,0.67,0.0,1.0,0.0,0.0,0.33,0.0,32.3,Moderate,medium
Hunter Street,secondary,5,2.0,32,0.0,0.0,1.0,0.4,0.0,0.4,0.0,32.2,Moderate,medium
Grove End Road,secondary,8,2.1,32,0.0,0.62,0.62,0.62,0.0,0.38,0.0,32.2,Moderate,medium
Eastcheap,tertiary,9,1.9,32,0.56,1.0,1.0,0.78,0.0,0.44,0.0,32.0,Moderate,medium
Claverton Street,tertiary,1,2.0,32,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,Moderate,high
Draycott Place,tertiary,2,2.0,32,0.0,1.0,1.0,1.0,0.0,1.0,0.0,32.0,Moderate,medium
Penton Street,tertiary,14,2.4,32,0.0,1.0,1.0,0.43,0.0,0.0,0.0,32.0,Moderate,high
Friday Street,tertiary,1,2.0,32,0.0,1.0,1.0,1.0,0.0,1.0,0.0,32.0,Moderate,medium
St Paul's Churchyard,tertiary,17,2.7,32,0.0,1.0,1.0,0.0,0.0,0.06,0.0,31.8,Moderate,medium
Queen's Gate,tertiary,12,2.0,33,1.0,0.67,1.0,0.83,0.0,0.58,0.0,31.7,Moderate,medium
Liverpool Road,secondary,93,2.1,32,0.0,0.05,1.0,0.04,0.0,0.12,0.0,31.7,Moderate,medium
Rochester Row,secondary,5,2.0,32,0.0,0.0,1.0,0.2,0.0,0.0,0.0,31.6,Moderate,high
Sun Street,secondary,5,1.6,32,0.4,0.0,1.0,0.4,0.0,0.4,0.0,31.4,Moderate,medium
Charterhouse Street,secondary,20,1.8,32,0.55,0.55,1.0,0.25,0.0,0.65,0.0,31.4,Moderate,medium
Druid Street,primary,12,1.7,41,0.67,0.25,1.0,0.17,0.0,0.83,0.33,31.4,Moderate,low
James Street,secondary,3,1.3,32,1.0,0.0,1.0,0.33,0.0,0.33,0.0,31.3,Moderate,medium
Endell Street,secondary,15,1.4,32,0.93,0.0,1.0,0.27,0.0,0.33,0.0,31.3,Moderate,medium
Symons Street,tertiary,4,2.0,32,0.75,1.0,1.0,0.25,0.0,1.0,0.0,31.2,Moderate,medium
Cannon Street,tertiary,34,2.0,32,0.53,1.0,1.0,0.29,0.0,0.53,0.0,31.1,Moderate,medium
Silverthorne Road,secondary,4,1.8,32,0.5,0.0,1.0,0.0,0.0,0.25,0.0,31.0,Moderate,medium
Denmark Street,tertiary,2,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Eldon Street,tertiary,6,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Lothian Road,tertiary,3,2.0,32,1.0,0.67,1.0,0.67,0.0,1.0,0.0,31.0,Moderate,medium
Orpheus Street,tertiary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Hurdwick Place,tertiary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Ebury Bridge,tertiary,5,2.0,32,0.4,1.0,1.0,0.4,0.0,0.2,0.0,31.0,Moderate,medium
Broadhurst Gardens,tertiary,2,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Paddington Street,secondary,8,1.9,32,0.38,0.0,1.0,0.12,0.0,0.38,0.0,31.0,Moderate,medium
Mandeville Place,secondary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Baynes Street,tertiary,4,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Patmos Road,tertiary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
North Street,secondary,1,2.0,32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Hawley Crescent,tertiary,1,2.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,Moderate,medium
Calthorpe Street,secondary,18,1.9,32,0.11,0.0,1.0,0.06,0.0,0.89,0.0,30.9,Moderate,medium
Clifton Road,secondary,5,1.8,32,0.0,0.8,0.6,0.4,0.0,1.0,0.0,30.8,Moderate,medium
Whiston Road,tertiary,4,2.2,32,0.0,1.0,1.0,0.25,0.0,0.0,0.0,30.8,Moderate,high
Lupus Street,tertiary,15,2.0,32,0.0,1.0,1.0,0.27,0.0,0.67,0.0,30.7,Moderate,medium
Barnsbury Road,tertiary,9,2.3,32,0.0,0.89,1.0,0.33,0.0,0.11,0.0,30.7,Moderate,medium
Holles Street,tertiary,3,2.7,32,1.0,0.33,1.0,0.33,0.0,0.33,0.0,30.7,Moderate,medium
Baron Street,unclassified,6,1.0,32,0.83,0.5,1.0,0.5,0.0,0.5,0.0,30.5,Moderate,medium
Pelham Street,tertiary,2,2.0,32,0.0,1.0,1.0,0.5,0.0,1.0,0.0,30.5,Moderate,medium
Murray Grove,tertiary,2,2.0,32,0.0,1.0,1.0,0.5,0.0,1.0,0.0,30.5,Moderate,medium
Mansion House Street,tertiary,2,2.0,32,0.0,1.0,1.0,0.5,0.0,0.0,0.0,30.5,Moderate,high
Bruton Street,tertiary,5,2.0,32,0.4,1.0,1.0,0.2,0.0,0.4,0.0,30.4,Moderate,medium
Wells Way,tertiary,19,2.0,32,0.63,0.89,1.0,0.21,0.0,0.37,0.0,30.4,Moderate,medium
Bernard Street,secondary,5,1.2,32,1.0,0.0,1.0,0.2,0.0,0.2,0.0,30.4,Moderate,medium
Rossmore Road,tertiary,7,2.0,32,0.0,1.0,1.0,0.43,0.0,0.0,0.0,30.3,Moderate,high
Lower Thames Street,primary,11,1.5,32,0.91,0.18,1.0,0.36,0.0,0.27,0.0,30.3,Moderate,medium
Grosvenor Crescent,secondary,5,1.4,32,0.8,0.0,1.0,0.0,0.0,0.4,0.0,30.2,Moderate,medium
Harrington Road,tertiary,8,2.0,32,0.38,1.0,1.0,0.12,0.0,0.25,0.0,30.1,Moderate,medium
Great Russell Street,tertiary,10,2.0,32,0.2,1.0,1.0,0.2,0.0,0.2,0.0,30.0,Moderate,medium
Atterbury Street,secondary,2,1.5,32,0.5,0.0,1.0,0.0,0.0,0.0,0.0,30.0,Moderate,high
Beeston Place,secondary,3,1.0,32,1.0,0.0,1.0,0.33,0.0,0.0,0.0,30.0,Moderate,high
Cornhill,tertiary,8,2.0,32,0.25,1.0,1.0,0.12,0.0,0.25,0.0,29.9,Moderate,medium
Blomfield Street,tertiary,8,2.0,32,1.0,0.75,1.0,0.12,0.0,1.0,0.0,29.9,Moderate,medium
Osnaburgh Street,primary,8,1.4,32,0.62,0.38,1.0,0.38,0.0,0.88,0.0,29.8,Moderate,medium
Great Tower Street,tertiary,6,1.7,32,0.83,1.0,1.0,0.17,0.0,0.33,0.0,29.8,Moderate,medium
Queen Victoria Street,tertiary,64,1.7,32,0.84,0.53,1.0,0.28,0.0,0.5,0.0,29.8,Moderate,medium
Heygate Street,tertiary,12,2.0,32,0.25,1.0,1.0,0.08,0.0,1.0,0.0,29.8,Moderate,medium
Cavendish Square,tertiary,12,1.8,32,0.67,0.5,1.0,0.17,0.0,0.0,0.0,29.8,Moderate,high
Aldgate High Street,tertiary,5,2.2,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.8,Moderate,high
Grafton Way,primary,13,1.5,32,0.77,0.54,1.0,0.15,0.0,0.31,0.0,29.7,Moderate,medium
Chancery Lane,secondary,7,1.7,32,1.0,0.0,0.57,0.0,0.0,0.57,0.0,29.7,Moderate,medium
Sloane Avenue,tertiary,3,2.0,32,0.33,0.67,1.0,0.67,0.0,1.0,0.0,29.7,Moderate,medium
Rodney Road,tertiary,11,2.0,32,0.27,1.0,1.0,0.0,0.0,1.0,0.0,29.5,Moderate,medium
Oakley Street,secondary,13,1.8,32,0.85,0.0,0.38,0.15,0.0,0.69,0.0,29.5,Moderate,medium
Ludgate Hill,tertiary,19,2.0,32,0.11,1.0,1.0,0.05,0.0,0.16,0.0,29.4,Moderate,medium
Aldgate,tertiary,7,1.6,32,0.86,0.86,1.0,0.43,0.0,0.29,0.0,29.4,Moderate,medium
New Change,tertiary,7,2.0,32,0.0,1.0,1.0,0.14,0.0,0.0,0.0,29.4,Moderate,high
Charles II Street,secondary,3,1.7,32,0.67,0.67,1.0,0.0,0.0,1.0,0.0,29.3,Moderate,medium
Leadenhall Street,tertiary,18,2.0,32,0.0,1.0,1.0,0.11,0.0,0.11,0.0,29.3,Moderate,medium
Market Road,tertiary,14,2.0,32,0.0,1.0,1.0,0.07,0.0,0.64,0.0,29.2,Moderate,medium
Agar Grove,tertiary,18,2.0,32,0.0,1.0,1.0,0.06,0.0,0.67,0.0,29.2,Moderate,medium
Prince of Wales Road,tertiary,59,2.0,32,0.0,1.0,1.0,0.03,0.0,0.85,0.0,29.1,Moderate,medium
Poultry,tertiary,3,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,Moderate,high
Parkgate Road,tertiary,5,2.0,32,0.0,0.8,1.0,0.4,0.0,0.8,0.0,29.0,Moderate,medium
Herrick Street,secondary,3,1.7,32,0.0,0.67,1.0,0.33,0.0,1.0,0.0,29.0,Moderate,medium
Flint Street,tertiary,1,2.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,29.0,Moderate,medium
Buckland Crescent,tertiary,1,2.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,29.0,Moderate,medium
England's Lane,tertiary,4,2.0,32,0.0,1.0,1.0,0.0,0.0,0.25,0.0,29.0,Moderate,medium
Battersea Church Road,tertiary,3,2.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,29.0,Moderate,medium
Bedford Place,tertiary,2,2.0,32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,Moderate,high
Kensington Gore,residential,14,2.0,32,0.14,0.5,1.0,0.14,0.0,0.36,0.0,28.9,Moderate,medium
Upper St Martin's Lane,tertiary,7,2.4,32,0.71,0.0,1.0,0.14,0.0,0.14,0.0,28.9,Moderate,medium
Thurlow Street,tertiary,4,2.0,32,0.0,1.0,0.5,0.75,0.0,1.0,0.0,28.8,Moderate,medium
Fetter Lane,primary,5,1.8,32,0.0,0.0,1.0,0.2,0.0,0.8,0.0,28.8,Moderate,medium
Grove Lane,tertiary,12,2.0,32,0.42,0.25,1.0,0.0,0.0,0.92,0.0,28.8,Moderate,medium
Museum Street,primary,6,1.5,32,1.0,0.0,1.0,0.83,0.0,0.67,0.0,28.5,Moderate,medium
Baring Street,secondary,6,1.7,32,0.0,0.67,1.0,0.17,0.0,0.33,0.0,28.5,Moderate,medium
Akerman Road,tertiary,7,1.9,32,0.0,1.0,1.0,0.0,0.0,0.29,0.0,28.4,Moderate,medium
New Bond Street,secondary,9,1.3,32,1.0,0.0,1.0,0.67,0.0,0.44,0.0,28.4,Moderate,medium
Midland Road,tertiary,10,1.6,32,1.0,1.0,0.8,0.0,0.0,0.0,0.0,28.4,Moderate,high
Belgrave Place,secondary,5,1.4,32,1.0,0.0,0.4,0.2,0.0,0.0,0.0,28.2,Moderate,high
Nottingham Place,secondary,4,1.8,32,0.75,0.0,1.0,0.5,0.0,0.75,0.0,28.2,Moderate,medium
Skinner Street,secondary,11,1.8,32,0.36,0.0,1.0,0.09,0.0,1.0,0.0,28.1,Moderate,medium
Berkeley Square,tertiary,12,1.9,32,1.0,0.67,1.0,0.0,0.0,0.83,0.0,28.0,Moderate,medium
Grosvenor Street,tertiary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,Moderate,high
Upper Wimpole Street,tertiary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,Moderate,high
Loughborough Road,tertiary,24,2.0,32,0.0,0.83,1.0,0.0,0.0,1.0,0.0,28.0,Moderate,medium
North Audley Street,tertiary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,Moderate,high
Hall Road,tertiary,8,2.0,32,0.0,1.0,0.5,0.5,0.0,1.0,0.0,28.0,Moderate,medium
Devonshire Place,tertiary,2,2.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,28.0,Moderate,medium
Harewood Place,tertiary,1,2.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,28.0,Moderate,medium
Princes Street,tertiary,9,1.9,32,0.0,0.89,1.0,0.22,0.0,0.33,0.0,27.9,Moderate,medium
